Locationabbr,Locationdesc,Exercise,Median_Income
AL,Alabama,72.4,42830
AK,Alaska,80.8,71583
AZ,Arizona,78.8,50068
AR,Arkansas,69.4,41262
CA,California,78.3,61933
CO,Colorado,83.6,61303
CT,Connecticut,79.4,70048
DE,Delaware,75.1,59716
DC,District of Columbia,79.2,71648
FL,Florida,76.3,47463
GA,Georgia,76.4,49321
HI,Hawaii,80.4,69592
ID,Idaho,81.3,47861
IL,Illinois,76.1,57444
IN,Indiana,73.9,49446
IA,Iowa,77.4,53712
KS,Kansas,76.2,52504
KY,Kentucky,71.8,42958
LA,Louisiana,70.5,44555
ME,Maine,80.3,49462
MD,Maryland,78.6,73971
MA,Massachusetts,79.9,69160
MI,Michigan,74.5,49847
MN,Minnesota,79.8,61481
MS,Mississippi,68.4,39680
MO,Missouri,75,48363
MT,Montana,80.4,46328
NE,Nebraska,78.7,52686
NV,Nevada,77.5,51450
NH,New Hampshire,80.7,66532
NJ,New Jersey,76.7,71919
NM,New Mexico,76.7,44803
NY,New York,74.1,58878
NC,North Carolina,76.8,46556
ND,North Dakota,78.7,59029
OH,Ohio,75.1,49308
OK,Oklahoma,71.7,47529
OR,Oregon,83.5,51075
PA,Pennsylvania,76.7,53234
RI,Rhode Island,77.5,54891
SC,South Carolina,74.7,45238
SD,South Dakota,78.8,50979
TN,Tennessee,73.2,44361
TX,Texas,72.4,53035
UT,Utah,83.2,60922
VT,Vermont,81,54166
VA,Virginia,76.5,64902
WA,Washington,81.9,61366
WV,West Virginia,71.3,41059
WI,Wisconsin,78.8,52622
WY,Wyoming,77.9,57055
PR,Puerto Rico,59.4,18928
